ID,CATEGORY,LINK,NAME ,DESCRIPTION,COMPANY,IMAGE
1,Accounting and Finance,https://www.jobstreet.com.my/en/job/accounting-manager-4775857?jobId=jobstreet-my-job-4775857&sectionRank=1&token=0~c43514c9-30e5-40af-b088-3f823e44f6ff&fr=SRP%20Job%20Listing,Accounting Manager,"Job Description: Lead and manage all finance and accounting activities of the organisation.Oversee and monitor the financial accounting and taxation matters to ensure correct and consistent application of accounting standards.Manage & supervise a team of accounting staffs in the month end closing process and reviewing all journals posting & reconciliations to ensure proper compliance with accounting standards.Provide support to the local BU manager to achieve overall financial target for the company. Reports to the local BU manager and CFO of Asia Pacific.Review full set of management accounts independently to ensure compliance with company's policies and operating procedures.Provide guidance to the finance department to ensure the financial report is prepared accurately in compliance with the company's policies and operating procedures, and meeting timeline set for financial reporting.Liaise with bankers on financing requirements. Oversee treasury function, cash flow management, AP function and ensure funds are available to meet payment obligations.Review tax computation and ensure appropriate provision, estimates and tax submission.Preparing and overseeing the budget process, collecting the inputs and comparing the company's actual performance with the budget.Manage cash flow, forecasting and ensure all banking matters are diligently and duly attended.Prepare financial reports, forecasts and present to Regional CFO and BU Manager; including identify trends, and make recommendations upon results in order to minimize risk and maximize opportunities.Liaise with external auditors, tax agents, bankers, company secretary, statutory authorities and others on audit, taxation, statistic, financial matters.Supervise and review the work performance of subordinates.",BSG CONSTRUCTION (MALAYSIA) SDN. BHD.,
2,Accounting and Finance,https://www.jobstreet.com.my/en/job/account-executive-9138990/origin/sg?jobId=jobstreet-sg-job-9138990&sectionRank=1&token=0~f9ba4223-ebcb-4a6a-81b1-3007750e1eac&fr=SRP%20Job%20Listing,Account Executive ,"Job description:Monitoring & analyzing accounting data.Produce financial reports or statements (for example, Profit & Loss Statement and balance sheets).Establishing and enforcing proper accounting methods, policies, and principles.To learn and deal with cryptocurrency.Help out with HR and other admin work when required.Manage and oversee the daily operations of the accounting department, including:accounts payable/receivable.cash receipts.general ledger.payroll and utilities.Budgeting.monitor cash flow. fixed asset monitoring. Monitor bank transfer.Monitor and manage Exchange rates. Provide recommendations.",RY Marketing & Media Agency,
3,Accounting and Finance,https://www.jobstreet.com.my/en/job/finance-executive-4776044?jobId=jobstreet-my-job-4776044&sectionRank=2&token=0~a5d4f802-ad69-43ec-bdff-db58da24aa5f&fr=SRP%20Job%20Listing,Finance executive ,"Job description: Verify creators’ onboarding documents.Track and monitor day-to-day Payout Settlement.Process Cancellation, Refund & Disputes Payment.Perform ad-hoc adjustments and other payment tasks.Work on financial reporting, i.e. settlement reports, reconcile Payment Gateway and Delivery Partners records against CookX transactions and submission of payout settlement to creators.Ensure Payout Summary sent to creators are accurate.Issue Invoices to creators.Assist in preparation of Compliance filing/reporting financials to regulators.Discussion with Business Ops to improve reporting process.Continuously seek for an initiative to reduce payment costs or come up with new payment initiatives.Analyze internal and external environment within the Payment industry to ensure that we remain highly competitive in the market.",cookX asia sdn bhd,
4,Accounting and Finance,https://www.jobstreet.com.my/en/job/accounts-executive-junior-senior-4775326?jobId=jobstreet-my-job-4775326&sectionRank=2&token=0~9c8ad0f3-4c71-48b2-822a-b70865dc0bb8&fr=SRP%20Job%20Listing,Accounts Executive (Junior/Senior) ,"Job Responsibilities:Handle full set of accounts – Accounts Receivable, Account Payable, Journals, and Cash Book.Prepare online banking.Perform monthly bank reconciliation.Assist the Senior Finance Manager to update Cash flow etc.Prepare monthly closing of accounts & reports and timely submission to the Management.Assist on procurement and documentation.Assist the Senior Finance Manager to prepare Operational budget, Profit & Loss forecast, Cash flow and conduct financial audit, etcHandle external auditors, tax agents, Corporate Income Tax, GST & SST matters.Assist Financing and annual review.Assist ISO documentation and Patent & Trademark matters.Assist ad-hoc assignments, as and when required.",AZTI ENGINEERING (M) SDN. BHD.,
5,Accounting and Finance,https://www.jobstreet.com.my/en/job/team-leader-4785281?jobId=jobstreet-my-job-4785281&sectionRank=2&token=0~de28550e-0186-4b25-b597-4ba0e49b9d56&fr=SRP%20Job%20Listing,Assistant Finance Manager ,"JOB DESCRIPTION :Oversee and supervise the entire spectrum of accounting functions including financial reporting, audit & taxation and staff supervision.Responsible for proper maintenance of accurate, complete and up-to-date accounting records of the Management Accounts and Statutory Accounts in accordance with the required statutory regulations and is inclusive of monthly, quarterly and yearly reports as per agreed timeline.Review and implement accounting and financial procedures and policies to ensure compliance with financial policies and accounting standards.Overseeing effectiveness of company policies and SOP related to handling of cash, assets and purchasing etc. Highly involved and supportive with operational needs in production, supply chain and restaurant operations. Reconciliation of balance sheet Account / Fixed Assets / Intercompany / Bank / etcMonitor bank facility and general banking activities.Assist in cash flow forecast, preparation of budget, forecast and analysis.Assist Finance Manager to manage day-to-day operation of accounting and finance function.The job function listed is not exhaustive and shall also include any ad-hoc projects and responsibilities as assigned by the Supervisor from time to time.",Asia Snowflake Group Sdn Bhd,
6,Accounting and Finance,https://www.jobstreet.com.my/en/job/accountant-4775836?jobId=jobstreet-my-job-4775836&sectionRank=1&token=0~86cd0f38-cb85-435d-a392-e9f788722077&fr=SRP%20Job%20Listing,Accountant,"Job Description:Handle and monitor full set of accounts of the Company which includes updating and verification of ledger, bank reconciliation, review accounts payable, review accounts receivable, month-end closing, statutory reporting, etc.Prepare monthly cash flow report and responsible in cash flow managementPrepare monthly management accounts together with financial analysis.Prepare audit and tax schedules and incharge in the audit and tax processes.Prepare yearly budget and forecast. Monitor, coordination with business on approved budget vs actual.Maintain well-organized and thorough financial reporting records and ensure that all accounting is performed within the Company’s policies and procedures.To participate in projects or ad hoc task as and when assigned.Other duties as and when requested by the Company.",Worldline International (Malaysia) Sdn Bhd,
7,Accounting and Finance,https://www.jobstreet.com.my/en/job/accounts-manager-4776122?jobId=jobstreet-my-job-4776122&sectionRank=4&token=0~57f78d21-5270-4919-9d22-955ea86d9b61&fr=SRP%20Job%20Listing, Accounts,"Job Description:Identify and drive Accounts process management and improvement.Keep abreast with latest technical updates and establish best practices of accounting policies and ensure timely deliverables of financial statements.Lead and manage the day-to-day accounting operations, month and year-end accounts closing, and consolidate the group account.Review of monthly Group financial reporting and perform analysis of figures to recommend areas of improvement.Develop and manage annual budgets, forecasts and cash flow for the Company.Review of tax computation and conduct tax planning.Liaison with auditors, tax agents and company secretary on audit and taxation of the Group.",Vanli Auto Spares Sdn Bhd,
8,Accounting and Finance,https://www.jobstreet.com.my/en/job/senior-accounts-and-admin-executive-4776455?jobId=jobstreet-my-job-4776455&sectionRank=1&token=0~4a7cec1c-b55e-46e8-9e66-6047593a0fa5&fr=SRP%20Job%20Listing,Accounts and Admin– Assistant / Executive ,"Job Description:At least 5 years of working experience in interior architechture product, interior construction, projects industry in accounts, admin, purchasing department.LCCI, CAT, Tar College Diploma and Degree in Accounting (encourage to apply), ACCA (Partial or complete) or related.Required Skill(s) : Microsoft Word, Microsoft Excel & SQL Accounting and Payroll System. Competency in full set of accounts, accounting software,billing, debtor, payroll, management reports and imports.Able to work independently, self modivated and willing to learn.Able to communicate well (written/verbally).Able to converse in English, Bahasa Malaysia, Mandarin and Cantonese is added advantage.Possess own transport. ",Bellabay Sdn Bhd,
9,Accounting and Finance,https://www.jobstreet.com.my/en/job/manager-commercial-finance-4776853?jobId=jobstreet-my-job-4776853&sectionRank=1&token=0~43d3710f-2210-48f5-bf29-9dd4a9fc9d9c&fr=SRP%20Job%20Listing, Manager – Commercial Finance,"Job Responsibilities:Maintain a sound controlling measures in commercial processes for Hartalega group of companies, to safeguard and optimise the resources.Ensures timely and accurate profitability analysis of the group and working closely with various stakeholders.Business partnering with the senior leaders in Commercial, particularly on own brand business.Taking a hands-on driving role in developing, implementing, and maintaining comprehensive financial information for analysis, management information and control purposes for own brand business. The information developed should also be use by the business to initiate operational actions to meet organizational objectives.Assist to work on investment appraisals to help derive sound decision on potential investment opportunities.Review and advise the management on potential business risk that may arise from the change in statutory requirements, cross border investment etc for own brand business, particularly overseas subsidiaries.To take the leadership role in managing people within the finance function of the own-brand business.Responsible for yearly budget preparation processes of the group.Responsible for the Sales & Operation Planning financial forecast for own-brand business",Hartalega NGC Sdn Bhd,
10,Accounting and Finance,https://www.jobstreet.com.my/en/job/senior-accounts-sales-admin-executive-4775413?jobId=jobstreet-my-job-4775413&sectionRank=2&token=0~b822f331-692e-4a18-a192-7151de9a59c3&fr=SRP%20Job%20Listing,Senior Accounts & Sales Admin Executive ,"Responsibilities: Manage full set of accountsMaintain updated accounting recordsPerform data entry and general daily accounting worksIn charge of Account Receivable/Payable (AR/AP)Prepare month-end general ledger close journal entries. Assist in ad-hoc assignments and provide administrative supportLiaise with bankers,external auditors, external tax agent, lawyers and company secretaryLiaise with other departments, suppliers, contractors, bankers, etc. in respect of paymentsHR administrative work (e.g. claims, EPF/SOCSO, taxation)Working alongside the Project Team to prepare project feasibility studies, market studies, cash flow projections, etc. Performing Sales Admin duties eg issuing billing to purchasers, liaising with end financing bankers, updating progress/sales reports with authorities ie KPKT, LHDN, assisting purchasers with assessment taxes and applying for utilities connection Treasury 1) Oversee the core of Treasury function – Daily banking operations (banking facilities) 2) Responsible for the cash flow planning, utilization of bank facilities and efficient use of cash as per objective set by the company and group treasury3) Establish a good relationship with bankers and lawyers while handling the respective queries effectively4) Handle important documents as well as monitoring collections 5) Monitor and manage daily cash positions",EVERSHINE LAND SDN. BHD,
